priority	scenario	candidate_gene_id	candidate_label	pathway_module	model_proxy	model_component_type	model_component_id	main_tex_refs	manuscript_evidence	interpretation	expected_direction_if_increased
1	asp_kinase_x2	Zm00001eb094670	Jarvis ask2 / aspartate kinase	Asp-family entry	AK capacity	species	asp_AK1;asp_AK2;asp_AKHSDHI;asp_AKHSDHII	main.tex:349;408	Jarvis broader FST outlier, soil-N GWAS pathway-consistent AK signal	Tests whether pushing Asp-family entry reallocates N into downstream Asp-family amino acids	more Thr/Ile, lower residual Asp
1	asp_kinase_half	Zm00001eb094670	Jarvis ask2 / aspartate kinase	Asp-family entry	AK capacity	species	asp_AK1;asp_AK2;asp_AKHSDHI;asp_AKHSDHII	main.tex:349;408	Jarvis broader FST outlier, soil-N GWAS pathway-consistent AK signal	Loss-of-function style test for Asp-family entry	less Thr/Ile, higher residual Asp
2	asadh_x2	Zm00001eb214360	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH capacity	species	asp_ASADH	main.tex:338;412	Indian Chief broader FST outlier immediately downstream of aspartate kinase	Tests commitment from AspP into Asp semialdehyde and downstream branch products	more ASA/Hser/Thr and possibly more Lys
3	asadh_half	Zm00001eb214360	Indian Chief aspartate-semialdehyde dehydrogenase	Asp-family commitment	ASADH capacity	species	asp_ASADH	main.tex:338;412	Same as above	Loss-of-function style perturbation for pathway commitment	less downstream Asp-family products, more upstream Asp retention
4	aspat_capacity_x2	Zm00001eb152450;Zm00001eb257910	Jarvis GOT1 / AspAT and Goodman-Buckler GOT-like GWAS	C-N interface	AspAT reversible capacity	parameter	Vf_AspAT;Vr_AspAT	main.tex:410;414;442	Jarvis GOT1 and methionine-associated GWAS AspAT-like candidate	Tests transamination-based coupling between Asp, Glu, OAA, and 2-OG	more Asp supply and stronger coupling to Glu/2-OG
5	aspat_capacity_half	Zm00001eb152450;Zm00001eb257910	Jarvis GOT1 / AspAT and Goodman-Buckler GOT-like GWAS	C-N interface	AspAT reversible capacity	parameter	Vf_AspAT;Vr_AspAT	main.tex:410;414;442	Same as above	Loss-of-function style test for reduced transamination coupling	less Asp-family support and weaker C-N transfer
6	gs_gogat_half	Zm00001eb162900;Zm00001eb060520	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS/GOGAT pull	parameter	nh4_Vgs;nh4_Vgog	main.tex:223;338;438;444	Indian Chief GS candidate and Glu/Gln-centered discussion	Tests sustained reduction in ammonium assimilation and glutamine production	lower GLN/GLU support and weaker downstream Asp-family flux
6	gs_gogat_x2	Zm00001eb162900;Zm00001eb060520	Indian Chief GS plus GDH/Glu-Gln module	N assimilation and reassimilation	GS/GOGAT pull	parameter	nh4_Vgs;nh4_Vgog	main.tex:223;338;438;444	Indian Chief GS candidate and Glu/Gln-centered discussion	Tests stronger ammonium assimilation and glutamine production	higher GLN support and lower NH4
7	gs_half	Zm00001eb162900	Indian Chief glutamine synthetase	N assimilation and reassimilation	GS capacity	parameter	nh4_Vgs	main.tex:338;444	Indian Chief broader FST GS candidate	Isolates the GS part of the N-assimilation lever	lower GLN and weaker reduced-N buffering
8	gogat_half	NA	GOGAT proxy from manuscript GS/GOGAT framing	N assimilation and reassimilation	GOGAT capacity	parameter	nh4_Vgog	main.tex:223;444	Modeled as pathway-level proxy rather than a named candidate	Tests the glutamate-regenerating arm of ammonium assimilation	lower GLU regeneration and weaker C-N coupling
